Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Total Tackles
Khali Saunders,Kent St.,331,2022-23,2,"[11, 12]","['11/16/2022', '11/26/2022']","['Eastern Mich.', 'Buffalo']","[12.0, 10.0]"
Nico Bolden,Kent St.,331,2022-23,2,"[10, 12]","['11/09/2022', '11/26/2022']","['Bowling Green', 'Buffalo']","[10.0, 11.0]"
Naijee Jones,Kent St.,331,2022-23,1,[11],['11/16/2022'],['Eastern Mich.'],[11.0]
D.J. Miller,Kent St.,331,2022-23,1,[11],['11/16/2022'],['Eastern Mich.'],[10.0]
D'Eryk Jackson,Kentucky,334,2022-23,1,[8],['10/29/2022'],['Tennessee'],[14.0]
Jacquez Jones,Kentucky,334,2022-23,1,[4],['09/24/2022'],['NIU'],[12.0]
DeAndre Square,Kentucky,334,2022-23,1,[7],['10/15/2022'],['Mississippi St.'],[11.0]
Jordan Wright,Kentucky,334,2022-23,1,[11],['11/19/2022'],['Georgia'],[10.0]
BJ Ojulari,LSU,365,2022-23,1,[9],['11/05/2022'],['Alabama'],[11.0]
Greg Penn III,LSU,365,2022-23,1,[10],['11/12/2022'],['Arkansas'],[10.0]
Jaquelin Roy,LSU,365,2022-23,1,[12],['11/26/2022'],['Texas A&M'],[12.0]
Jay Ward,LSU,365,2022-23,1,[3],['09/17/2022'],['Mississippi St.'],[11.0]
Harold Perkins Jr.,LSU,365,2022-23,1,[13],['12/03/2022'],['Georgia'],[10.0]
Micah Baskerville,LSU,365,2022-23,2,"[6, 7]","['10/08/2022', '10/15/2022']","['Tennessee', 'Florida']","[15.0, 11.0]"
Jarrick Bernard-Converse,LSU,365,2022-23,1,[6],['10/08/2022'],['Tennessee'],[11.0]
Greg Brooks Jr.,LSU,365,2022-23,1,[6],['10/08/2022'],['Tennessee'],[10.0]
Hugh Davis,Louisiana Tech,366,2022-23,1,[10],['11/12/2022'],['UTSA'],[10.0]
BeeJay Williamson,Louisiana Tech,366,2022-23,1,[5],['10/08/2022'],['UTEP'],[10.0]
Tyler Grubbs,Louisiana Tech,366,2022-23,2,"[2, 3]","['09/10/2022', '09/17/2022']","['SFA', 'Clemson']","[10.0, 15.0]"
Maki Carabin,Louisiana Tech,366,2022-23,1,[10],['11/12/2022'],['UTSA'],[11.0]
Jaiden Cole,Louisiana Tech,366,2022-23,1,[5],['10/08/2022'],['UTEP'],[11.0]
Monty Montgomery,Louisville,367,2022-23,1,[11],['11/19/2022'],['NC State'],[10.0]
Jarvis Brownlee,Louisville,367,2022-23,1,[11],['11/19/2022'],['NC State'],[11.0]
MoMo Sanogo,Louisville,367,2022-23,2,"[9, 10]","['11/05/2022', '11/12/2022']","['James Madison', 'Clemson']","[13.0, 14.0]"
Kenderick Duncan,Louisville,367,2022-23,1,[2],['09/09/2022'],['UCF'],[13.0]
Eli Neal,Marshall,388,2022-23,1,[13],['12/19/2022'],['UConn'],[10.0]
Sam Burton,Marshall,388,2022-23,1,[12],['11/26/2022'],['Georgia St.'],[10.0]
Andre Sam,Marshall,388,2022-23,1,[2],['09/10/2022'],['Notre Dame'],[10.0]
Abraham Beauplan,Marshall,388,2022-23,1,[6],['10/12/2022'],['Louisiana'],[11.0]
Beau Brade,Maryland,392,2022-23,1,[3],['09/17/2022'],['SMU'],[15.0]
