Overall Rank,Season Rank,Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Receptions
783.0,126.0,Devontez Walker,North Carolina,457,2023-24,4,"[5, 6, 7, 10]","['10/07/2023', '10/14/2023', '10/21/2023', '11/11/2023']","['Syracuse', 'Miami (FL)', 'Virginia', 'Duke']","[6.0, 6.0, 11.0, 7.0]"
2185.0,380.0,Omarion Hampton,North Carolina,457,2023-24,1,[10],['11/11/2023'],['Duke'],[8.0]
1107.0,183.0,Bryson Nesbit,North Carolina,457,2023-24,3,"[5, 9, 10]","['10/07/2023', '11/04/2023', '11/11/2023']","['Syracuse', 'Campbell', 'Duke']","[5.0, 6.0, 7.0]"
783.0,126.0,J.J. Jones,North Carolina,457,2023-24,4,"[3, 4, 7, 11]","['09/09/2023', '09/23/2023', '10/21/2023', '11/18/2023']","['App State', 'Pittsburgh', 'Virginia', 'Clemson']","[5.0, 6.0, 5.0, 5.0]"
783.0,126.0,Nate McCollum,North Carolina,457,2023-24,4,"[1, 4, 5, 13]","['09/16/2023', '09/23/2023', '10/07/2023', '12/27/2023']","['Minnesota', 'Pittsburgh', 'Syracuse', 'West Virginia']","[15.0, 5.0, 7.0, 5.0]"
2185.0,380.0,Jairus Mack,Charlotte,458,2023-24,1,[9],['11/04/2023'],['Tulsa'],[7.0]
1528.0,263.0,Jack Hestera,Charlotte,458,2023-24,2,"[3, 5]","['09/16/2023', '09/30/2023']","['Georgia St.', 'SMU']","[7.0, 7.0]"
1528.0,263.0,Colin Weber,Charlotte,458,2023-24,2,"[8, 10]","['10/27/2023', '11/11/2023']","['Fla. Atlantic', 'Memphis']","[6.0, 5.0]"
1107.0,183.0,Billy Kemp,Nebraska,463,2023-24,3,"[2, 4, 8]","['11/18/2023', '09/09/2023', '09/23/2023']","['Wisconsin', 'Colorado', 'Louisiana Tech']","[8.0, 5.0, 5.0]"
391.0,62.0,Jacob De Jesus,UNLV,465,2023-24,6,"[6, 7, 11, 12, 13, 14]","['10/21/2023', '10/28/2023', '11/25/2023', '09/09/2023', '12/02/2023', '12/26/2023']","['Colorado St.', 'Fresno St.', 'San Jose St.', 'Michigan', 'Boise St.', 'Kansas']","[9.0, 5.0, 5.0, 5.0, 6.0, 8.0]"
22.0,6.0,Ricky White,UNLV,465,2023-24,11,"[2, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14]","['09/16/2023', '09/30/2023', '10/14/2023', '10/21/2023', '10/28/2023', '11/04/2023', '11/10/2023', '11/18/2023', '11/25/2023', '12/02/2023', '12/26/2023']","['Vanderbilt', 'Hawaii', 'Nevada', 'Colorado St.', 'Fresno St.', 'New Mexico', 'Wyoming', 'Air Force', 'San Jose St.', 'Boise St.', 'Kansas']","[12.0, 5.0, 7.0, 9.0, 7.0, 8.0, 8.0, 8.0, 5.0, 6.0, 7.0]"
2185.0,380.0,Kaleo Ballungay,UNLV,465,2023-24,1,[7],['10/28/2023'],['Fresno St.'],[5.0]
2185.0,380.0,John Jackson III,Nevada,466,2023-24,1,[11],['11/18/2023'],['Colorado St.'],[6.0]
1528.0,263.0,Dalevon Campbell,Nevada,466,2023-24,2,"[10, 11]","['11/11/2023', '11/18/2023']","['Utah St.', 'Colorado St.']","[5.0, 5.0]"
1528.0,263.0,Spencer Curtis,Nevada,466,2023-24,2,"[5, 12]","['09/30/2023', '11/25/2023']","['Fresno St.', 'Wyoming']","[8.0, 5.0]"
2185.0,380.0,Keleki Latu,Nevada,466,2023-24,1,[4],['09/23/2023'],['Texas St.'],[6.0]
2185.0,380.0,Cameron Zeidler,Nevada,466,2023-24,1,[11],['11/18/2023'],['Colorado St.'],[5.0]
