Overall Rank,Season Rank,Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Pass Yards
263.0,47.0,William Brown,SMU,663,2018-19,1,[5],['09/29/2018'],['Houston Christian'],[309.0]
85.0,13.0,Jack Abraham,Southern Miss.,664,2018-19,2,"[2, 3]","['09/08/2018', '09/22/2018']","['ULM', 'Rice']","[378.0, 428.0]"
263.0,47.0,Willie Jones III,Texas St.,670,2018-19,1,[9],['11/03/2018'],['Georgia St.'],[325.0]
263.0,47.0,Andre Nunez,Louisiana,671,2018-19,1,[6],['10/13/2018'],['New Mexico St.'],[315.0]
42.0,6.0,K.J. Costello,Stanford,674,2018-19,3,"[8, 9, 10]","['10/27/2018', '11/03/2018', '11/10/2018']","['Washington St.', 'Washington', 'Oregon St.']","[323.0, 347.0, 342.0]"
85.0,13.0,Eric Dungey,Syracuse,688,2018-19,2,"[12, 13]","['11/24/2018', '12/28/2018']","['Boston College', 'West Virginia']","[362.0, 303.0]"
263.0,47.0,Anthony Russo,Temple,690,2018-19,1,[9],['11/01/2018'],['UCF'],[444.0]
263.0,47.0,Jarrett Guarantano,Tennessee,694,2018-19,1,[6],['10/13/2018'],['Auburn'],[328.0]
263.0,47.0,Kellen Mond,Texas A&M,697,2018-19,1,[7],['10/13/2018'],['South Carolina'],[353.0]
263.0,47.0,Shawn Robinson,TCU,698,2018-19,1,[3],['09/15/2018'],['Ohio St.'],[308.0]
263.0,47.0,Mike Collins,TCU,698,2018-19,1,[8],['10/27/2018'],['Kansas'],[351.0]
85.0,13.0,Alan Bowman,Texas Tech,700,2018-19,2,"[7, 8]","['10/20/2018', '10/27/2018']","['Kansas', 'Iowa St.']","[408.0, 323.0]"
263.0,47.0,Jett Duffey,Texas Tech,700,2018-19,1,[10],['11/10/2018'],['Texas'],[444.0]
85.0,13.0,Sam Ehlinger,Texas,703,2018-19,2,"[9, 10]","['11/03/2018', '11/10/2018']","['West Virginia', 'Texas Tech']","[354.0, 312.0]"
263.0,47.0,Ryan Metz,UTEP,704,2018-19,1,[6],['10/06/2018'],['North Texas'],[313.0]
263.0,47.0,Brandon Jones,UTEP,704,2018-19,1,[11],['11/17/2018'],['Western Ky.'],[340.0]
263.0,47.0,Eli Peters,Toledo,709,2018-19,1,[9],['10/31/2018'],['Ball St.'],[327.0]
263.0,47.0,Sawyer Smith,Troy,716,2018-19,1,[13],['12/22/2018'],['Buffalo'],[320.0]
263.0,47.0,J. McMILLAN,Tulane,718,2018-19,1,[10],['11/10/2018'],['East Carolina'],[372.0]
85.0,13.0,Jordan Love,Utah St.,731,2018-19,2,"[12, 13]","['11/24/2018', '12/15/2018']","['Boise St.', 'North Texas']","[363.0, 359.0]"
263.0,47.0,Tyler Huntley,Utah,732,2018-19,1,[7],['10/20/2018'],['Southern California'],[341.0]
263.0,47.0,Jason Shelley,Utah,732,2018-19,1,[14],['12/31/2018'],['Northwestern'],[302.0]
263.0,47.0,Kyle Shurmur,Vanderbilt,736,2018-19,1,[12],['11/24/2018'],['Tennessee'],[367.0]
85.0,13.0,Ryan Willis,Virginia Tech,742,2018-19,2,"[4, 5]","['09/29/2018', '10/06/2018']","['Duke', 'Notre Dame']","[332.0, 309.0]"
263.0,47.0,Bryce Perkins,Virginia,746,2018-19,1,[3],['09/15/2018'],['Ohio'],[379.0]
263.0,47.0,Sam Hartman,Wake Forest,749,2018-19,1,[1],['08/30/2018'],['Tulane'],[378.0]
263.0,47.0,Jamie Newman,Wake Forest,749,2018-19,1,[13],['12/22/2018'],['Memphis'],[328.0]
1.0,1.0,Gardner Minshew II,Washington St.,754,2018-19,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","['09/01/2018', '09/08/2018', '09/15/2018', '09/21/2018', '09/29/2018', '10/06/2018', '10/20/2018', '10/27/2018', '11/03/2018', '11/10/2018', '11/17/2018']","['Wyoming', 'San Jose St.', 'Eastern Wash.', 'Southern California', 'Utah', 'Oregon St.', 'Oregon', 'Stanford', 'California', 'Colorado', 'Arizona']","[319.0, 414.0, 470.0, 344.0, 445.0, 430.0, 323.0, 438.0, 337.0, 335.0, 473.0]"
263.0,47.0,Jake Browning,Washington,756,2018-19,1,[14],['01/01/2019'],['Ohio St.'],[313.0]
14.0,3.0,Will Grier,West Virginia,768,2018-19,5,"[7, 8, 9, 10, 11]","['10/25/2018', '11/03/2018', '11/10/2018', '11/17/2018', '11/23/2018']","['Baylor', 'Texas', 'TCU', 'Oklahoma St.', 'Oklahoma']","[353.0, 346.0, 343.0, 364.0, 539.0]"
263.0,47.0,Drew Eckels,Western Ky.,772,2018-19,1,[2],['09/08/2018'],['Maine'],[347.0]
263.0,47.0,Jon Wassink,Western Mich.,774,2018-19,1,[5],['09/29/2018'],['Miami (OH)'],[439.0]
85.0,13.0,Stephen Calvert,Liberty,355,2018-19,2,"[5, 6]","['09/29/2018', '10/06/2018']","['New Mexico', 'New Mexico St.']","[417.0, 365.0]"
