Overall Rank,Season Rank,Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Rushing Yards
523.0,94.0,Kendre Miller,TCU,698,2021-22,1,[11],['11/20/2021'],['Kansas'],[112.0]
54.0,10.0,Zach Evans,TCU,698,2021-22,4,"[2, 3, 4, 5]","['09/11/2021', '09/25/2021', '10/02/2021', '10/09/2021']","['California', 'SMU', 'Texas', 'Texas Tech']","[190.0, 113.0, 113.0, 143.0]"
199.0,34.0,Tahj Brooks,Texas Tech,700,2021-22,2,"[12, 13]","['09/11/2021', '12/28/2021']","['SFA', 'Mississippi St.']","[103.0, 107.0]"
523.0,94.0,SaRodorick Thompson,Texas Tech,700,2021-22,1,[5],['10/09/2021'],['TCU'],[118.0]
523.0,94.0,Roschon Johnson,Texas,703,2021-22,1,[12],['11/26/2021'],['Kansas St.'],[179.0]
523.0,94.0,Keilan Robinson,Texas,703,2021-22,1,[11],['11/20/2021'],['West Virginia'],[111.0]
31.0,6.0,Bijan Robinson,Texas,703,2021-22,5,"[3, 4, 5, 6, 7]","['09/18/2021', '09/25/2021', '10/02/2021', '10/09/2021', '10/16/2021']","['Rice', 'Texas Tech', 'TCU', 'Oklahoma', 'Oklahoma St.']","[127.0, 137.0, 216.0, 137.0, 135.0]"
523.0,94.0,Willie Eldridge,UTEP,704,2021-22,1,[2],['09/04/2021'],['Bethune-Cookman'],[118.0]
523.0,94.0,Ronald Awatt,UTEP,704,2021-22,1,[11],['11/20/2021'],['Rice'],[119.0]
54.0,10.0,Sincere McCormick,UTSA,706,2021-22,4,"[6, 7, 8, 9]","['10/09/2021', '10/16/2021', '10/23/2021', '11/06/2021']","['Western Ky.', 'Rice', 'Louisiana Tech', 'UTEP']","[120.0, 117.0, 113.0, 169.0]"
18.0,4.0,Bryant Koback,Toledo,709,2021-22,6,"[8, 9, 10, 11, 12, 13]","['10/23/2021', '11/02/2021', '11/10/2021', '11/16/2021', '11/27/2021', '12/17/2021']","['Western Mich.', 'Eastern Mich.', 'Bowling Green', 'Ohio', 'Akron', 'Middle Tenn.']","[100.0, 180.0, 121.0, 203.0, 135.0, 126.0]"
523.0,94.0,Dequan Finn,Toledo,709,2021-22,1,[4],['09/25/2021'],['Ball St.'],[106.0]
199.0,34.0,Kimani Vidal,Troy,716,2021-22,2,"[7, 8]","['10/16/2021', '10/28/2021']","['Texas St.', 'Coastal Carolina']","[162.0, 142.0]"
523.0,94.0,B.J. Smith,Troy,716,2021-22,1,[5],['10/02/2021'],['South Carolina'],[102.0]
96.0,18.0,Tyjae Spears,Tulane,718,2021-22,3,"[10, 11, 12]","['11/13/2021', '11/20/2021', '11/27/2021']","['Tulsa', 'South Fla.', 'Memphis']","[104.0, 111.0, 264.0]"
199.0,34.0,Shamari Brooks,Tulsa,719,2021-22,2,"[6, 7]","['10/09/2021', '10/16/2021']","['Memphis', 'South Fla.']","[126.0, 145.0]"
523.0,94.0,Anthony Watkins,Tulsa,719,2021-22,1,[9],['11/06/2021'],['Cincinnati'],[105.0]
523.0,94.0,Deneric Prince,Tulsa,719,2021-22,1,[7],['10/16/2021'],['South Fla.'],[110.0]
523.0,94.0,Emmanuel Michel,Air Force,721,2021-22,1,[12],['11/26/2021'],['UNLV'],[123.0]
523.0,94.0,Micah Davis,Air Force,721,2021-22,1,[1],['09/04/2021'],['Lafayette'],[101.0]
96.0,18.0,Brad Roberts,Air Force,721,2021-22,3,"[5, 6, 7]","['10/02/2021', '10/09/2021', '10/16/2021']","['New Mexico', 'Wyoming', 'Boise St.']","[142.0, 140.0, 138.0]"
199.0,34.0,Haaziq Daniels,Air Force,721,2021-22,2,"[3, 4]","['09/18/2021', '09/25/2021']","['Utah St.', 'Fla. Atlantic']","[102.0, 164.0]"
199.0,34.0,DeAndre Hughes,Air Force,721,2021-22,2,"[10, 11]","['11/13/2021', '11/19/2021']","['Colorado St.', 'Nevada']","[108.0, 208.0]"
523.0,94.0,Christian Anderson,Army West Point,725,2021-22,1,[4],['09/25/2021'],['Miami (OH)'],[236.0]
523.0,94.0,Tyrell Robinson,Army West Point,725,2021-22,1,[10],['11/20/2021'],['Massachusetts'],[137.0]
523.0,94.0,Tyhier Tyler,Army West Point,725,2021-22,1,[7],['10/23/2021'],['Wake Forest'],[104.0]
523.0,94.0,Carlinos Acie,Navy,726,2021-22,1,[10],['11/20/2021'],['East Carolina'],[155.0]
199.0,34.0,Calvin Tyler Jr.,Utah St.,731,2021-22,2,"[3, 4]","['09/18/2021', '09/25/2021']","['Air Force', 'Boise St.']","[132.0, 126.0]"
523.0,94.0,Elelyon Noa,Utah St.,731,2021-22,1,[8],['10/30/2021'],['Hawaii'],[111.0]
199.0,34.0,T.J. Pledger,Utah,732,2021-22,2,"[9, 10]","['11/05/2021', '11/13/2021']","['Stanford', 'Arizona']","[107.0, 119.0]"
523.0,94.0,Micah Bernard,Utah,732,2021-22,1,[9],['11/05/2021'],['Stanford'],[110.0]
199.0,34.0,Tavion Thomas,Utah,732,2021-22,2,"[8, 9]","['10/30/2021', '11/05/2021']","['UCLA', 'Stanford']","[160.0, 177.0]"
523.0,94.0,Mike Wright,Vanderbilt,736,2021-22,1,[9],['10/30/2021'],['Missouri'],[152.0]
199.0,34.0,Rocko Griffin,Vanderbilt,736,2021-22,2,"[11, 12]","['11/20/2021', '11/27/2021']","['Ole Miss', 'Tennessee']","[117.0, 104.0]"
199.0,34.0,Malachi Thomas,Virginia Tech,742,2021-22,2,"[7, 8]","['10/23/2021', '10/30/2021']","['Syracuse', 'Georgia Tech']","[151.0, 103.0]"
523.0,94.0,Raheem Blackshear,Virginia Tech,742,2021-22,1,[12],['11/27/2021'],['Virginia'],[169.0]
523.0,94.0,Connor Blumrick,Virginia Tech,742,2021-22,1,[11],['11/20/2021'],['Miami (FL)'],[132.0]
523.0,94.0,Braxton Burmeister,Virginia Tech,742,2021-22,1,[12],['11/27/2021'],['Virginia'],[115.0]
199.0,34.0,Max Borghi,Washington St.,754,2021-22,2,"[11, 12]","['11/19/2021', '11/26/2021']","['Arizona', 'Washington']","[139.0, 129.0]"
523.0,94.0,Sean McGrew,Washington,756,2021-22,1,[8],['10/30/2021'],['Stanford'],[114.0]
199.0,34.0,Leddie Brown,West Virginia,768,2021-22,2,"[11, 12]","['11/20/2021', '11/27/2021']","['Texas', 'Kansas']","[158.0, 156.0]"
523.0,94.0,Tony Mathis Jr.,West Virginia,768,2021-22,1,[12],['11/27/2021'],['Kansas'],[118.0]
523.0,94.0,Garrett Greene,West Virginia,768,2021-22,1,[2],['09/11/2021'],['LIU'],[107.0]
523.0,94.0,Noah Whittington,Western Ky.,772,2021-22,1,[14],['12/18/2021'],['App State'],[150.0]
523.0,94.0,La'Darius Jefferson,Western Mich.,774,2021-22,1,[2],['09/11/2021'],['Illinois St.'],[106.0]
199.0,34.0,Sean Tyler,Western Mich.,774,2021-22,2,"[12, 13]","['11/23/2021', '12/27/2021']","['NIU', 'Nevada']","[115.0, 146.0]"
523.0,94.0,Jaxson Kincaide,Western Mich.,774,2021-22,1,[13],['12/27/2021'],['Nevada'],[105.0]
11.0,2.0,Braelon Allen,Wisconsin,796,2021-22,7,"[5, 6, 7, 8, 9, 10, 11]","['10/09/2021', '10/16/2021', '10/23/2021', '10/30/2021', '11/06/2021', '11/13/2021', '11/20/2021']","['Illinois', 'Army West Point', 'Purdue', 'Iowa', 'Rutgers', 'Northwestern', 'Nebraska']","[131.0, 108.0, 140.0, 104.0, 129.0, 173.0, 228.0]"
199.0,34.0,Chez Mellusi,Wisconsin,796,2021-22,2,"[1, 2]","['09/04/2021', '09/11/2021']","['Penn St.', 'Eastern Mich.']","[121.0, 144.0]"
523.0,94.0,Levi Williams,Wyoming,811,2021-22,1,[13],['12/21/2021'],['Kent St.'],[200.0]
523.0,94.0,Titus Swen,Wyoming,811,2021-22,1,[11],['11/20/2021'],['Utah St.'],[169.0]
523.0,94.0,Xazavian Valladay,Wyoming,811,2021-22,1,[11],['11/20/2021'],['Utah St.'],[145.0]
523.0,94.0,Malik Willis,Liberty,355,2021-22,1,[7],['10/16/2021'],['ULM'],[157.0]
523.0,94.0,Shedro Louis,Liberty,355,2021-22,1,[10],['11/06/2021'],['Ole Miss'],[101.0]
96.0,18.0,DeWayne McBride,UAB,9,2021-22,3,"[9, 10, 11]","['11/06/2021', '11/13/2021', '11/20/2021']","['Louisiana Tech', 'Marshall', 'UTSA']","[210.0, 108.0, 144.0]"
523.0,94.0,Jermaine Brown Jr.,UAB,9,2021-22,1,[5],['10/02/2021'],['Liberty'],[106.0]
523.0,94.0,Blake Hester,Akron,5,2021-22,1,[6],['10/09/2021'],['Bowling Green'],[120.0]
523.0,94.0,Jonzell Norrils,Akron,5,2021-22,1,[8],['10/23/2021'],['Buffalo'],[155.0]
523.0,94.0,DJ Irons,Akron,5,2021-22,1,[3],['09/18/2021'],['Bryant'],[136.0]
523.0,94.0,Roydell Williams,Alabama,8,2021-22,1,[4],['09/25/2021'],['Southern Miss.'],[110.0]
199.0,34.0,Brian Robinson Jr.,Alabama,8,2021-22,2,"[5, 6]","['10/02/2021', '10/09/2021']","['Ole Miss', 'Texas A&M']","[171.0, 147.0]"
199.0,34.0,Nate Noel,App State,27,2021-22,2,"[8, 9]","['10/30/2021', '11/06/2021']","['ULM', 'Arkansas St.']","[132.0, 122.0]"
523.0,94.0,Camerun Peoples,App State,27,2021-22,1,[14],['12/18/2021'],['Western Ky.'],[101.0]
199.0,34.0,Rachaad White,Arizona St.,28,2021-22,2,"[9, 10]","['11/06/2021', '11/13/2021']","['Southern California', 'Washington']","[202.0, 184.0]"
523.0,94.0,Jayden Daniels,Arizona St.,28,2021-22,1,[2],['09/11/2021'],['UNLV'],[125.0]
523.0,94.0,Dominique Johnson,Arkansas,31,2021-22,1,[9],['11/06/2021'],['Mississippi St.'],[107.0]
523.0,94.0,Trelon Smith,Arkansas,31,2021-22,1,[1],['09/04/2021'],['Rice'],[102.0]
523.0,94.0,Raheim Sanders,Arkansas,31,2021-22,1,[6],['10/09/2021'],['Ole Miss'],[139.0]
523.0,94.0,KJ Jefferson,Arkansas,31,2021-22,1,[13],['01/01/2022'],['Penn St.'],[110.0]
96.0,18.0,Tank Bigsby,Auburn,37,2021-22,3,"[1, 2, 3]","['09/04/2021', '09/11/2021', '09/18/2021']","['Akron', 'Alabama St.', 'Penn St.']","[119.0, 122.0, 102.0]"
199.0,34.0,Jarquez Hunter,Auburn,37,2021-22,2,"[1, 2]","['09/04/2021', '09/11/2021']","['Akron', 'Alabama St.']","[110.0, 147.0]"
199.0,34.0,Carson Steele,Ball St.,47,2021-22,2,"[9, 10]","['11/02/2021', '11/10/2021']","['Akron', 'NIU']","[154.0, 109.0]"
54.0,10.0,Abram Smith,Baylor,51,2021-22,4,"[7, 8, 9, 10]","['10/16/2021', '10/30/2021', '11/06/2021', '11/13/2021']","['BYU', 'Texas', 'TCU', 'Oklahoma']","[188.0, 145.0, 125.0, 148.0]"
523.0,94.0,Taye McWilliams,Baylor,51,2021-22,1,[2],['09/11/2021'],['Texas Southern'],[102.0]
199.0,34.0,Trestan Ebner,Baylor,51,2021-22,2,"[1, 2]","['09/04/2021', '09/11/2021']","['Texas St.', 'Texas Southern']","[120.0, 125.0]"
523.0,94.0,Gerry Bohanon,Baylor,51,2021-22,1,[10],['11/13/2021'],['Oklahoma'],[107.0]
96.0,18.0,George Holani,Boise St.,66,2021-22,3,"[9, 10, 11]","['11/06/2021', '11/12/2021', '11/20/2021']","['Fresno St.', 'Wyoming', 'New Mexico']","[117.0, 102.0, 114.0]"
199.0,34.0,Patrick Garwo,Boston College,67,2021-22,2,"[9, 10]","['11/05/2021', '11/13/2021']","['Virginia Tech', 'Georgia Tech']","[116.0, 104.0]"
523.0,94.0,Terion Stewart,Bowling Green,71,2021-22,1,[9],['10/30/2021'],['Buffalo'],[170.0]
96.0,18.0,Tyler Allgeier,BYU,77,2021-22,3,"[11, 12, 13]","['11/20/2021', '11/27/2021', '12/18/2021']","['Ga. Southern', 'Southern California', 'UAB']","[136.0, 111.0, 192.0]"
96.0,18.0,Dylan McDuffie,Buffalo,86,2021-22,3,"[7, 8, 9]","['10/16/2021', '10/23/2021', '10/30/2021']","['Ohio', 'Akron', 'Bowling Green']","[143.0, 108.0, 166.0]"
199.0,34.0,Jordan Mims,Fresno St.,96,2021-22,2,"[8, 9]","['10/23/2021', '10/30/2021']","['Nevada', 'San Diego St.']","[134.0, 186.0]"
523.0,94.0,Ronnie Rivers,Fresno St.,96,2021-22,1,[4],['09/18/2021'],['UCLA'],[136.0]
523.0,94.0,Damien Moore,California,107,2021-22,1,[8],['10/30/2021'],['Oregon St.'],[111.0]
523.0,94.0,Christopher Brooks,California,107,2021-22,1,[11],['11/20/2021'],['Stanford'],[131.0]
96.0,18.0,Zach Charbonnet,UCLA,110,2021-22,3,"[10, 11, 12]","['11/20/2021', '11/27/2021', '09/25/2021']","['Southern California', 'California', 'Stanford']","[167.0, 106.0, 118.0]"
523.0,94.0,Brittain Brown,UCLA,110,2021-22,1,[5],['10/09/2021'],['Arizona'],[146.0]
523.0,94.0,Dorian Thompson-Robinson,UCLA,110,2021-22,1,[11],['11/27/2021'],['California'],[102.0]
523.0,94.0,Ryan O'Keefe,UCF,128,2021-22,1,[13],['12/23/2021'],['Florida'],[110.0]
523.0,94.0,Mark-Antony Richards,UCF,128,2021-22,1,[9],['11/13/2021'],['SMU'],[104.0]
523.0,94.0,Isaiah Bowser,UCF,128,2021-22,1,[13],['12/23/2021'],['Florida'],[155.0]
523.0,94.0,Johnny Richardson,UCF,128,2021-22,1,[10],['11/20/2021'],['UConn'],[147.0]
6.0,1.0,Lew Nichols,Central Mich.,129,2021-22,8,"[6, 7, 8, 9, 10, 11, 12, 13]","['10/09/2021', '10/16/2021', '10/23/2021', '11/03/2021', '11/10/2021', '11/17/2021', '11/26/2021', '12/31/2021']","['Ohio', 'Toledo', 'NIU', 'Western Mich.', 'Kent St.', 'Ball St.', 'Eastern Mich.', 'Washington St.']","[186.0, 136.0, 192.0, 163.0, 215.0, 219.0, 194.0, 138.0]"
199.0,34.0,Jerome Ford,Cincinnati,140,2021-22,2,"[5, 6]","['10/08/2021', '10/16/2021']","['Temple', 'UCF']","[149.0, 189.0]"
523.0,94.0,Kobe Pace,Clemson,147,2021-22,1,[11],['11/20/2021'],['Wake Forest'],[191.0]
199.0,34.0,Will Shipley,Clemson,147,2021-22,2,"[11, 12]","['11/20/2021', '11/27/2021']","['Wake Forest', 'South Carolina']","[111.0, 128.0]"
523.0,94.0,Braydon Bennett,Coastal Carolina,149,2021-22,1,[13],['12/17/2021'],['NIU'],[108.0]
