Overall Rank,Season Rank,Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Receiving Yards
2169.0,402.0,Jordan Bly,Old Dominion,523,2022-23,2,"[2, 8]","['09/10/2022', '10/29/2022']","['East Carolina', 'Georgia St.']","[67.0, 87.0]"
408.0,79.0,Ali Jennings,Old Dominion,523,2022-23,7,"[1, 2, 3, 4, 5, 6, 7]","['09/02/2022', '09/10/2022', '09/17/2022', '09/24/2022', '10/01/2022', '10/15/2022', '10/22/2022']","['Virginia Tech', 'East Carolina', 'Virginia', 'Arkansas St.', 'Liberty', 'Coastal Carolina', 'Ga. Southern']","[122.0, 200.0, 97.0, 140.0, 129.0, 87.0, 130.0]"
3023.0,536.0,MarQeese Dietz,Old Dominion,523,2022-23,1,[11],['11/19/2022'],['App State'],[50.0]
3023.0,536.0,Tyjon Lindsey,Oregon St.,528,2022-23,1,[1],['09/03/2022'],['Boise St.'],[55.0]
861.0,156.0,Tre'Shaun Harrison,Oregon St.,528,2022-23,5,"[2, 3, 5, 6, 10]","['09/10/2022', '09/17/2022', '10/01/2022', '10/08/2022', '11/12/2022']","['Fresno St.', 'Montana St.', 'Utah', 'Stanford', 'California']","[53.0, 133.0, 96.0, 104.0, 79.0]"
2169.0,402.0,Luke Musgrave,Oregon St.,528,2022-23,2,"[1, 2]","['09/03/2022', '09/10/2022']","['Boise St.', 'Fresno St.']","[89.0, 80.0]"
1593.0,300.0,Jack Velling,Oregon St.,528,2022-23,3,"[7, 8, 11]","['10/15/2022', '10/22/2022', '11/19/2022']","['Washington St.', 'Colorado', 'Arizona St.']","[63.0, 60.0, 74.0]"
1593.0,300.0,Anthony Gould,Oregon St.,528,2022-23,3,"[1, 3, 5]","['09/03/2022', '09/17/2022', '10/01/2022']","['Boise St.', 'Montana St.', 'Utah']","[69.0, 77.0, 79.0]"
2169.0,402.0,Silas Bolden,Oregon St.,528,2022-23,2,"[11, 13]","['11/19/2022', '12/17/2022']","['Arizona St.', 'Florida']","[54.0, 99.0]"
2169.0,402.0,Dont'e Thornton Jr.,Oregon,529,2022-23,2,"[2, 11]","['09/10/2022', '11/19/2022']","['Eastern Wash.', 'Utah']","[60.0, 151.0]"
2169.0,402.0,Bucky Irving,Oregon,529,2022-23,2,"[7, 8]","['10/22/2022', '10/29/2022']","['UCLA', 'California']","[57.0, 61.0]"
408.0,79.0,Troy Franklin,Oregon,529,2022-23,7,"[2, 3, 4, 5, 7, 10, 12]","['09/10/2022', '09/17/2022', '09/24/2022', '10/01/2022', '10/22/2022', '11/12/2022', '11/26/2022']","['Eastern Wash.', 'BYU', 'Washington St.', 'Stanford', 'UCLA', 'Washington', 'Oregon St.']","[84.0, 84.0, 137.0, 52.0, 132.0, 139.0, 78.0]"
2169.0,402.0,Terrance Ferguson,Oregon,529,2022-23,2,"[12, 13]","['11/26/2022', '12/28/2022']","['Oregon St.', 'North Carolina']","[53.0, 84.0]"
1176.0,212.0,Chase Cota,Oregon,529,2022-23,4,"[4, 5, 6, 12]","['09/24/2022', '10/01/2022', '10/08/2022', '11/26/2022']","['Washington St.', 'Stanford', 'Arizona', 'Oregon St.']","[84.0, 56.0, 60.0, 136.0]"
611.0,117.0,Kris Hutson,Oregon,529,2022-23,6,"[4, 6, 8, 9, 10, 11]","['09/24/2022', '10/08/2022', '10/29/2022', '11/05/2022', '11/12/2022', '11/19/2022']","['Washington St.', 'Arizona', 'California', 'Colorado', 'Washington', 'Utah']","[72.0, 60.0, 67.0, 80.0, 55.0, 56.0]"
3023.0,536.0,Noah Whittington,Oregon,529,2022-23,1,[8],['10/29/2022'],['California'],[67.0]
3023.0,536.0,Harrison Wallace III,Penn St.,539,2022-23,1,[6],['10/15/2022'],['Michigan'],[57.0]
1176.0,212.0,KeAndre Lambert-Smith,Penn St.,539,2022-23,4,"[1, 8, 12, 13]","['09/01/2022', '10/29/2022', '11/26/2022', '01/02/2023']","['Purdue', 'Ohio St.', 'Michigan St.', 'Utah']","[58.0, 58.0, 83.0, 124.0]"
3023.0,536.0,Kaytron Allen,Penn St.,539,2022-23,1,[9],['11/05/2022'],['Indiana'],[72.0]
611.0,117.0,Mitchell Tinsley,Penn St.,539,2022-23,6,"[1, 4, 6, 7, 9, 11]","['09/01/2022', '09/24/2022', '10/15/2022', '10/22/2022', '11/05/2022', '11/19/2022']","['Purdue', 'Central Mich.', 'Michigan', 'Minnesota', 'Indiana', 'Rutgers']","[84.0, 51.0, 57.0, 58.0, 63.0, 63.0]"
1593.0,300.0,Theo Johnson,Penn St.,539,2022-23,3,"[7, 8, 12]","['10/22/2022', '10/29/2022', '11/26/2022']","['Minnesota', 'Ohio St.', 'Michigan St.']","[75.0, 57.0, 62.0]"
2169.0,402.0,Brenton Strange,Penn St.,539,2022-23,2,"[1, 3]","['09/01/2022', '09/17/2022']","['Purdue', 'Auburn']","[77.0, 80.0]"
611.0,117.0,Parker Washington,Penn St.,539,2022-23,6,"[2, 3, 4, 5, 7, 8]","['09/10/2022', '09/17/2022', '09/24/2022', '10/01/2022', '10/22/2022', '10/29/2022']","['Ohio', 'Auburn', 'Central Mich.', 'Northwestern', 'Minnesota', 'Ohio St.']","[60.0, 58.0, 64.0, 73.0, 70.0, 179.0]"
3023.0,536.0,Israel Abanikanda,Pittsburgh,545,2022-23,1,[7],['10/22/2022'],['Louisville'],[50.0]
2169.0,402.0,Gavin Bartholomew,Pittsburgh,545,2022-23,2,"[2, 5]","['09/10/2022', '10/01/2022']","['Tennessee', 'Georgia Tech']","[84.0, 55.0]"
861.0,156.0,Konata Mumpfield,Pittsburgh,545,2022-23,5,"[1, 5, 9, 10, 13]","['09/01/2022', '10/01/2022', '11/05/2022', '11/12/2022', '12/30/2022']","['West Virginia', 'Georgia Tech', 'Syracuse', 'Virginia', 'UCLA']","[71.0, 75.0, 59.0, 60.0, 78.0]"
1593.0,300.0,Bub Means,Pittsburgh,545,2022-23,3,"[8, 10, 13]","['10/29/2022', '11/12/2022', '12/30/2022']","['North Carolina', 'Virginia', 'UCLA']","[53.0, 90.0, 84.0]"
3023.0,536.0,Rodney Hammond Jr.,Pittsburgh,545,2022-23,1,[1],['09/01/2022'],['West Virginia'],[55.0]
151.0,23.0,Jared Wayne,Pittsburgh,545,2022-23,9,"[1, 2, 3, 5, 8, 9, 11, 12, 13]","['09/01/2022', '09/10/2022', '09/17/2022', '10/01/2022', '10/29/2022', '11/05/2022', '11/19/2022', '11/26/2022', '12/30/2022']","['West Virginia', 'Tennessee', 'Western Mich.', 'Georgia Tech', 'North Carolina', 'Syracuse', 'Duke', 'Miami (FL)', 'UCLA']","[89.0, 82.0, 94.0, 89.0, 161.0, 102.0, 93.0, 205.0, 51.0]"
3023.0,536.0,Jaden Bradley,Pittsburgh,545,2022-23,1,[6],['10/08/2022'],['Virginia Tech'],[66.0]
1176.0,212.0,TJ Sheffield,Purdue,559,2022-23,4,"[7, 10, 13, 14]","['10/15/2022', '11/12/2022', '12/03/2022', '01/02/2023']","['Nebraska', 'Illinois', 'Michigan', 'LSU']","[70.0, 72.0, 54.0, 56.0]"
2169.0,402.0,Devin Mockobee,Purdue,559,2022-23,2,"[4, 12]","['09/24/2022', '11/26/2022']","['Fla. Atlantic', 'Indiana']","[59.0, 58.0]"
35.0,5.0,Charlie Jones,Purdue,559,2022-23,11,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 13]","['09/01/2022', '09/10/2022', '09/17/2022', '09/24/2022', '10/01/2022', '10/15/2022', '10/22/2022', '11/05/2022', '11/12/2022', '11/26/2022', '12/03/2022']","['Penn St.', 'Indiana St.', 'Syracuse', 'Fla. Atlantic', 'Minnesota', 'Nebraska', 'Wisconsin', 'Iowa', 'Illinois', 'Indiana', 'Michigan']","[153.0, 133.0, 188.0, 59.0, 55.0, 132.0, 105.0, 104.0, 66.0, 143.0, 162.0]"
2169.0,402.0,Mershawn Rice,Purdue,559,2022-23,2,"[1, 6]","['09/01/2022', '10/08/2022']","['Penn St.', 'Maryland']","[59.0, 54.0]"
1176.0,212.0,Payne Durham,Purdue,559,2022-23,4,"[3, 6, 8, 10]","['09/17/2022', '10/08/2022', '10/22/2022', '11/12/2022']","['Syracuse', 'Maryland', 'Wisconsin', 'Illinois']","[83.0, 109.0, 66.0, 70.0]"
3023.0,536.0,Quinton Jackson,Rice,574,2022-23,1,[13],['12/17/2022'],['Southern Miss.'],[54.0]
3023.0,536.0,Kobie Campbell,Rice,574,2022-23,1,[10],['11/12/2022'],['Western Ky.'],[61.0]
