Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Total Tackles
Jahad Woods,Washington St.,754,2019-20,9,"[2, 4, 5, 6, 8, 9, 11, 12, 13]","['09/07/2019', '09/21/2019', '09/28/2019', '10/12/2019', '10/26/2019', '11/09/2019', '11/23/2019', '11/29/2019', '12/27/2019']","['Northern Colo.', 'UCLA', 'Utah', 'Arizona St.', 'Oregon', 'California', 'Oregon St.', 'Washington', 'Air Force']","[10.0, 12.0, 11.0, 11.0, 13.0, 13.0, 10.0, 10.0, 20.0]"
Skyler Thomas,Washington St.,754,2019-20,2,"[5, 12]","['09/28/2019', '11/29/2019']","['Utah', 'Washington']","[11.0, 10.0]"
Bryce Beekman,Washington St.,754,2019-20,2,"[3, 4]","['09/13/2019', '09/21/2019']","['Houston', 'UCLA']","[10.0, 10.0]"
Brandon Wellington,Washington,756,2019-20,2,"[7, 11]","['10/19/2019', '11/29/2019']","['Oregon', 'Washington St.']","[11.0, 16.0]"
Elijah Molden,Washington,756,2019-20,1,[11],['11/29/2019'],['Washington St.'],[14.0]
Edefuan Ulofoshio,Washington,756,2019-20,2,"[10, 11]","['11/23/2019', '11/29/2019']","['Colorado', 'Washington St.']","[11.0, 12.0]"
Josh Chandler-Semedo,West Virginia,768,2019-20,1,[1],['08/31/2019'],['James Madison'],[14.0]
Josh Norwood,West Virginia,768,2019-20,4,"[4, 5, 6, 7]","['09/21/2019', '10/05/2019', '10/12/2019', '10/19/2019']","['Kansas', 'Texas', 'Iowa St.', 'Oklahoma']","[11.0, 10.0, 10.0, 11.0]"
Sean Mahone,West Virginia,768,2019-20,1,[9],['11/09/2019'],['Texas Tech'],[15.0]
Devon Key,Western Ky.,772,2019-20,4,"[2, 3, 4, 11]","['09/07/2019', '09/14/2019', '09/28/2019', '11/23/2019']","['FIU', 'Louisville', 'UAB', 'Southern Miss.']","[11.0, 10.0, 12.0, 11.0]"
Clay Davis,Western Ky.,772,2019-20,3,"[8, 12, 13]","['10/26/2019', '11/30/2019', '12/30/2019']","['Marshall', 'Middle Tenn.', 'Western Mich.']","[10.0, 13.0, 10.0]"
Kyle Bailey,Western Ky.,772,2019-20,4,"[2, 11, 12, 13]","['09/07/2019', '11/23/2019', '11/30/2019', '12/30/2019']","['FIU', 'Southern Miss.', 'Middle Tenn.', 'Western Mich.']","[13.0, 11.0, 10.0, 11.0]"
Juwuan Jones,Western Ky.,772,2019-20,1,[8],['10/26/2019'],['Marshall'],[10.0]
Antwon Kincade,Western Ky.,772,2019-20,1,[8],['10/26/2019'],['Marshall'],[15.0]
DeAngelo Malone,Western Ky.,772,2019-20,2,"[3, 4]","['09/14/2019', '09/28/2019']","['Louisville', 'UAB']","[10.0, 10.0]"
Justin Tranquill,Western Mich.,774,2019-20,2,"[2, 8]","['09/07/2019', '10/19/2019']","['Michigan St.', 'Eastern Mich.']","[14.0, 10.0]"
Drake Spears,Western Mich.,774,2019-20,2,"[6, 9]","['10/05/2019', '10/26/2019']","['Toledo', 'Bowling Green']","[11.0, 10.0]"
Treshaun Hayward,Western Mich.,774,2019-20,9,"[2, 3, 4, 5, 6, 8, 9, 11, 13]","['09/07/2019', '09/14/2019', '09/21/2019', '09/28/2019', '10/05/2019', '10/19/2019', '10/26/2019', '11/12/2019', '12/30/2019']","['Michigan St.', 'Georgia St.', 'Syracuse', 'Central Mich.', 'Toledo', 'Eastern Mich.', 'Bowling Green', 'Ohio', 'Western Ky.']","[10.0, 15.0, 11.0, 11.0, 13.0, 18.0, 13.0, 12.0, 10.0]"
AJ Thomas,Western Mich.,774,2019-20,2,"[4, 5]","['09/21/2019', '09/28/2019']","['Syracuse', 'Central Mich.']","[11.0, 10.0]"
Patrick Lupro,Western Mich.,774,2019-20,1,[8],['10/19/2019'],['Eastern Mich.'],[14.0]
Reggie Pearson,Wisconsin,796,2019-20,1,[10],['11/16/2019'],['Nebraska'],[10.0]
Jack Sanborn,Wisconsin,796,2019-20,1,[4],['09/28/2019'],['Northwestern'],[13.0]
Zack Baun,Wisconsin,796,2019-20,1,[8],['10/26/2019'],['Ohio St.'],[10.0]
Eric Burrell,Wisconsin,796,2019-20,1,[8],['10/26/2019'],['Ohio St.'],[11.0]
Chad Muma,Wyoming,811,2019-20,1,[1],['08/31/2019'],['Missouri'],[10.0]
Logan Wilson,Wyoming,811,2019-20,5,"[1, 2, 3, 9, 12]","['08/31/2019', '09/07/2019', '09/14/2019', '11/09/2019', '11/30/2019']","['Missouri', 'Texas St.', 'Idaho', 'Boise St.', 'Air Force']","[13.0, 11.0, 11.0, 10.0, 10.0]"
Alijah Halliburton,Wyoming,811,2019-20,7,"[1, 4, 5, 9, 11, 12, 13]","['08/31/2019', '09/21/2019', '09/28/2019', '11/09/2019', '11/22/2019', '11/30/2019', '12/31/2019']","['Missouri', 'Tulsa', 'UNLV', 'Boise St.', 'Colorado St.', 'Air Force', 'Georgia St.']","[17.0, 17.0, 11.0, 10.0, 13.0, 13.0, 11.0]"
Garrett Crall,Wyoming,811,2019-20,1,[12],['11/30/2019'],['Air Force'],[10.0]
Elijah Benton,Liberty,355,2019-20,4,"[1, 3, 8, 11]","['08/31/2019', '09/14/2019', '10/26/2019', '11/23/2019']","['Syracuse', 'Buffalo', 'Rutgers', 'Virginia']","[13.0, 10.0, 10.0, 11.0]"
Brandon Tillmon,Liberty,355,2019-20,1,[3],['09/14/2019'],['Buffalo'],[11.0]
Solomon Ajayi,Liberty,355,2019-20,2,"[5, 11]","['09/28/2019', '11/23/2019']","['New Mexico', 'Virginia']","[10.0, 13.0]"
Jessie Lemonier,Liberty,355,2019-20,2,"[6, 8]","['10/05/2019', '10/26/2019']","['New Mexico St.', 'Rutgers']","[11.0, 11.0]"
Javon Scruggs,Liberty,355,2019-20,1,[8],['10/26/2019'],['Rutgers'],[10.0]
Mar'Sean Diggs,UAB,9,2018-19,1,[14],['12/18/2018'],['NIU'],[10.0]
Fitzgerald Mofor,UAB,9,2018-19,2,"[2, 13]","['09/08/2018', '12/01/2018']","['Coastal Carolina', 'Middle Tenn.']","[11.0, 10.0]"
Kristopher Moll,UAB,9,2018-19,1,[13],['12/01/2018'],['Middle Tenn.'],[11.0]
Zaire Jacobs,Akron,5,2018-19,1,[11],['11/23/2018'],['Ohio'],[10.0]
Alvin Davis,Akron,5,2018-19,3,"[2, 7, 8]","['09/15/2018', '10/27/2018', '11/01/2018']","['Northwestern', 'Central Mich.', 'NIU']","[10.0, 11.0, 15.0]"
Jordan George,Akron,5,2018-19,1,[10],['11/17/2018'],['Bowling Green'],[12.0]
John Lako,Akron,5,2018-19,6,"[2, 3, 6, 7, 8, 9]","['09/15/2018', '09/22/2018', '10/20/2018', '10/27/2018', '11/01/2018', '11/10/2018']","['Northwestern', 'Iowa St.', 'Kent St.', 'Central Mich.', 'NIU', 'Eastern Mich.']","[12.0, 10.0, 13.0, 23.0, 14.0, 10.0]"
