Overall Rank,Season Rank,Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Pass Yards
269.0,44.0,Gunnar Holmberg,Duke,193,2021-22,2,"[3, 4]","['09/18/2021', '09/25/2021']","['Northwestern', 'Kansas']","[314.0, 328.0]"
168.0,28.0,Holton Ahlers,East Carolina,196,2021-22,3,"[3, 10, 11]","['09/18/2021', '11/13/2021', '11/20/2021']","['Marshall', 'Memphis', 'Navy']","[368.0, 313.0, 405.0]"
113.0,21.0,Ben Bryant,Eastern Mich.,204,2021-22,4,"[5, 7, 9, 10]","['10/02/2021', '10/16/2021', '11/02/2021', '11/09/2021']","['NIU', 'Ball St.', 'Toledo', 'Ohio']","[338.0, 331.0, 354.0, 354.0]"
168.0,28.0,N'Kosi Perry,Fla. Atlantic,229,2021-22,3,"[2, 5, 12]","['09/11/2021', '10/02/2021', '11/27/2021']","['Ga. Southern', 'FIU', 'Middle Tenn.']","[332.0, 329.0, 328.0]"
168.0,28.0,Max Bortenschlager,FIU,231,2021-22,3,"[4, 6, 9]","['09/25/2021', '10/08/2021', '11/06/2021']","['Central Mich.', 'Charlotte', 'Old Dominion']","[395.0, 466.0, 315.0]"
443.0,76.0,Emory Jones,Florida,235,2021-22,1,[10],['11/13/2021'],['Samford'],[464.0]
269.0,44.0,Jeff Sims,Georgia Tech,255,2021-22,2,"[5, 12]","['10/02/2021', '10/23/2021']","['Pittsburgh', 'Virginia']","[359.0, 300.0]"
269.0,44.0,Stetson Bennett,Georgia,257,2021-22,2,"[13, 14]","['12/04/2021', '12/31/2021']","['Alabama', 'Michigan']","[340.0, 313.0]"
443.0,76.0,JT Daniels,Georgia,257,2021-22,1,[3],['09/18/2021'],['South Carolina'],[303.0]
113.0,21.0,Chevan Cordeiro,Hawaii,277,2021-22,4,"[2, 3, 12, 13]","['09/04/2021', '09/11/2021', '11/20/2021', '11/27/2021']","['Portland St.', 'Oregon St.', 'Colorado St.', 'Wyoming']","[305.0, 366.0, 406.0, 323.0]"
168.0,28.0,Clayton Tune,Houston,288,2021-22,3,"[8, 9, 12]","['10/30/2021', '11/06/2021', '11/27/2021']","['SMU', 'South Fla.', 'UConn']","[412.0, 385.0, 301.0]"
443.0,76.0,Michael Penix Jr.,Indiana,306,2021-22,1,[4],['09/25/2021'],['Western Ky.'],[373.0]
269.0,44.0,Brock Purdy,Iowa St.,311,2021-22,2,"[7, 10]","['10/23/2021', '11/13/2021']","['Oklahoma St.', 'Texas Tech']","[307.0, 356.0]"
269.0,44.0,Skylar Thompson,Kansas St.,327,2021-22,2,"[5, 7]","['10/02/2021', '10/23/2021']","['Oklahoma', 'Texas Tech']","[320.0, 306.0]"
443.0,76.0,Jason Bean,Kansas,328,2021-22,1,[4],['09/25/2021'],['Duke'],[323.0]
75.0,17.0,Dustin Crum,Kent St.,331,2021-22,5,"[4, 6, 9, 10, 12]","['09/25/2021', '10/09/2021', '11/03/2021', '11/10/2021', '11/27/2021']","['Maryland', 'Buffalo', 'NIU', 'Central Mich.', 'Miami (OH)']","[308.0, 407.0, 322.0, 322.0, 325.0]"
168.0,28.0,Will Levis,Kentucky,334,2021-22,3,"[1, 9, 11]","['09/04/2021', '11/06/2021', '11/20/2021']","['ULM', 'Tennessee', 'New Mexico St.']","[367.0, 372.0, 419.0]"
75.0,17.0,Max Johnson,LSU,365,2021-22,5,"[1, 3, 5, 11, 12]","['09/04/2021', '09/18/2021', '10/02/2021', '11/20/2021', '11/27/2021']","['UCLA', 'Central Mich.', 'Auburn', 'ULM', 'Texas A&M']","[330.0, 372.0, 325.0, 319.0, 306.0]"
443.0,76.0,Aaron Allen,Louisiana Tech,366,2021-22,1,[10],['11/13/2021'],['Charlotte'],[324.0]
269.0,44.0,Austin Kendall,Louisiana Tech,366,2021-22,2,"[3, 5]","['09/18/2021', '10/02/2021']","['SMU', 'NC State']","[351.0, 341.0]"
269.0,44.0,Malik Cunningham,Louisville,367,2021-22,2,"[5, 11]","['10/02/2021', '11/18/2021']","['Wake Forest', 'Duke']","[309.0, 303.0]"
48.0,12.0,Grant Wells,Marshall,388,2021-22,6,"[1, 2, 3, 5, 7, 9]","['09/04/2021', '09/11/2021', '09/18/2021', '10/02/2021', '10/15/2021', '11/06/2021']","['Navy', 'N.C. Central', 'East Carolina', 'Middle Tenn.', 'North Texas', 'Fla. Atlantic']","[333.0, 344.0, 433.0, 321.0, 323.0, 351.0]"
28.0,10.0,Taulia Tagovailoa,Maryland,392,2021-22,7,"[1, 3, 4, 8, 9, 10, 12]","['09/04/2021', '09/17/2021', '09/25/2021', '10/30/2021', '11/06/2021', '11/13/2021', '11/27/2021']","['West Virginia', 'Illinois', 'Kent St.', 'Indiana', 'Penn St.', 'Michigan St.', 'Rutgers']","[332.0, 350.0, 384.0, 419.0, 371.0, 350.0, 312.0]"
48.0,12.0,Seth Henigan,Memphis,404,2021-22,6,"[2, 4, 5, 6, 9, 12]","['09/11/2021', '09/25/2021', '10/02/2021', '10/09/2021', '11/06/2021', '11/27/2021']","['Arkansas St.', 'UTSA', 'Temple', 'Tulsa', 'SMU', 'Tulane']","[417.0, 329.0, 305.0, 463.0, 392.0, 336.0]"
168.0,28.0,Brett Gabbert,Miami (OH),414,2021-22,3,"[9, 10, 12]","['11/02/2021', '11/09/2021', '11/27/2021']","['Ohio', 'Buffalo', 'Kent St.']","[492.0, 351.0, 405.0]"
48.0,12.0,Tyler Van Dyke,Miami (FL),415,2021-22,6,"[7, 8, 9, 10, 11, 12]","['10/23/2021', '10/30/2021', '11/06/2021', '11/13/2021', '11/20/2021', '11/27/2021']","['NC State', 'Pittsburgh', 'Georgia Tech', 'Florida St.', 'Virginia Tech', 'Duke']","[325.0, 426.0, 389.0, 316.0, 357.0, 381.0]"
443.0,76.0,D'Eriq King,Miami (FL),415,2021-22,1,[3],['09/18/2021'],['Michigan St.'],[388.0]
168.0,28.0,Payton Thorne,Michigan St.,416,2021-22,3,"[5, 6, 13]","['10/02/2021', '10/09/2021', '12/30/2021']","['Western Ky.', 'Rutgers', 'Pittsburgh']","[327.0, 339.0, 354.0]"
443.0,76.0,Cade McNamara,Michigan,418,2021-22,1,[8],['10/30/2021'],['Michigan St.'],[383.0]
443.0,76.0,Chase Cunningham,Middle Tenn.,419,2021-22,1,[4],['09/24/2021'],['Charlotte'],[379.0]
